iter	Passed	Remaining
0	16	7475
1	39	8936
2	59	9006
3	75	8521
4	95	8600
5	113	8539
6	139	8957
7	158	8922
8	178	8884
9	195	8744
10	219	8896
11	238	8829
12	258	8814
13	277	8769
14	291	8581
15	309	8527
16	334	8649
17	354	8654
18	382	8821
19	416	9091
20	436	9070
21	456	9035
22	478	9030
23	500	9027
24	521	9017
25	549	9105
26	567	9035
27	588	9018
28	657	9708
29	723	10296
30	777	10682
31	795	10565
32	813	10451
33	836	10405
34	855	10312
35	876	10245
36	894	10148
37	916	10101
38	935	10021
39	954	9950
40	975	9894
41	993	9815
42	1012	9752
43	1031	9683
44	1052	9634
45	1072	9583
46	1097	9574
47	1117	9521
48	1135	9454
49	1163	9469
50	1182	9412
51	1200	9352
52	1219	9298
53	1242	9272
54	1261	9219
55	1281	9176
56	1298	9114
57	1321	9088
58	1340	9042
59	1360	9000
60	1380	8963
61	1402	8934
62	1421	8891
63	1444	8867
64	1467	8852
65	1493	8848
66	1520	8849
67	1551	8874
68	1573	8849
69	1594	8816
70	1615	8783
71	1635	8745
72	1662	8743
73	1690	8751
74	1717	8746
75	1750	8775
76	1785	8811
77	1820	8843
78	1854	8873
79	1886	8890
80	1924	8933
81	1950	8921
82	1974	8896
83	2002	8892
84	2032	8894
85	2054	8863
86	2077	8836
87	2099	8803
88	2120	8769
89	2149	8764
90	2168	8723
91	2196	8715
92	2221	8695
93	2245	8671
94	2274	8668
95	2299	8648
96	2327	8638
97	2357	8634
98	2381	8613
99	2404	8584
100	2432	8572
101	2458	8557
102	2481	8529
103	2504	8502
104	2525	8466
105	2548	8439
106	2574	8420
107	2596	8390
108	2621	8368
109	2643	8338
110	2668	8318
111	2685	8273
112	2710	8250
113	2735	8231
114	2758	8204
115	2779	8170
116	2801	8140
117	2823	8110
118	2846	8085
119	2868	8055
120	2900	8052
121	2925	8032
122	2950	8011
123	2970	7976
124	2993	7951
125	3016	7923
126	3043	7908
127	3066	7882
128	3091	7861
129	3114	7834
130	3145	7826
131	3168	7802
132	3193	7779
133	3218	7759
134	3244	7738
135	3270	7718
136	3294	7696
137	3320	7676
138	3344	7652
139	3371	7634
140	3395	7610
141	3426	7600
142	3445	7564
143	3467	7537
144	3491	7513
145	3511	7479
146	3536	7458
147	3558	7430
148	3579	7399
149	3604	7377
150	3625	7347
151	3647	7318
152	3668	7289
153	3696	7273
154	3719	7246
155	3775	7284
156	3799	7259
157	3822	7233
158	3844	7205
159	3864	7172
160	3888	7149
161	3912	7123
162	3937	7101
163	3967	7088
164	3995	7071
165	4018	7044
166	4046	7026
167	4078	7015
168	4107	6999
169	4130	6972
170	4155	6950
171	4177	6921
172	4201	6897
173	4222	6867
174	4244	6840
175	4271	6819
176	4291	6788
177	4311	6758
178	4339	6738
179	4358	6707
180	4387	6689
181	4412	6667
182	4436	6642
183	4467	6627
184	4495	6609
185	4515	6579
186	4538	6552
187	4563	6529
188	4584	6500
189	4604	6470
190	4626	6442
191	4646	6413
192	4670	6388
193	4692	6361
194	4716	6337
195	4743	6316
196	4770	6296
197	4797	6275
198	4820	6249
199	4840	6219
200	4866	6197
201	4889	6172
202	4919	6155
203	4941	6128
204	4970	6109
205	4997	6088
206	5017	6059
207	5047	6043
208	5067	6013
209	5169	6080
210	5268	6142
211	5297	6121
212	5321	6095
213	5348	6073
214	5374	6049
215	5400	6025
216	5426	6001
217	5456	5982
218	5480	5955
219	5504	5930
220	5526	5901
221	5548	5873
222	5574	5849
223	5594	5818
224	5615	5790
225	5644	5769
226	5659	5734
227	5680	5705
228	5703	5678
229	5725	5650
230	5746	5621
231	5771	5596
232	5792	5568
233	5821	5547
234	5846	5522
235	5870	5497
236	5894	5471
237	5919	5446
238	5942	5420
239	5972	5400
240	6000	5377
241	6025	5353
242	6046	5324
243	6070	5298
244	6092	5272
245	6116	5245
246	6135	5216
247	6158	5190
248	6179	5162
249	6203	5136
250	6223	5107
251	6240	5077
252	6263	5050
253	6290	5027
254	6320	5007
255	6339	4977
256	6360	4949
257	6379	4920
258	6401	4894
259	6423	4866
260	6440	4836
261	6469	4814
262	6488	4786
263	6513	4761
264	6535	4734
265	6557	4708
266	6583	4685
267	6607	4659
268	6630	4634
269	6649	4605
270	6670	4578
271	6693	4552
272	6713	4525
273	6734	4497
274	6754	4470
275	6778	4445
276	6797	4416
277	6818	4390
278	6836	4361
279	6860	4337
280	6878	4308
281	6897	4280
282	6915	4251
283	6931	4222
284	6956	4198
285	6976	4171
286	6995	4143
287	7018	4118
288	7038	4091
289	7057	4064
290	7075	4035
291	7094	4008
292	7115	3982
293	7137	3957
294	7157	3930
295	7178	3904
296	7199	3878
297	7220	3852
298	7241	3826
299	7260	3799
300	7285	3775
301	7306	3749
302	7330	3725
303	7352	3700
304	7371	3673
305	7397	3650
306	7415	3623
307	7438	3598
308	7457	3572
309	7478	3546
310	7498	3520
311	7518	3493
312	7543	3470
313	7565	3445
314	7592	3422
315	7614	3397
316	7642	3375
317	7661	3348
318	7684	3324
319	7701	3297
320	7725	3273
321	7745	3247
322	7772	3224
323	7793	3199
324	7811	3172
325	7837	3149
326	7858	3124
327	7879	3099
328	7907	3076
329	7944	3057
330	7966	3032
331	7991	3008
332	8011	2983
333	8038	2960
334	8059	2935
335	8086	2911
336	8107	2886
337	8128	2861
338	8150	2837
339	8168	2810
340	8190	2786
341	8208	2760
342	8233	2736
343	8254	2711
344	8280	2688
345	8312	2666
346	8332	2641
347	8352	2616
348	8372	2591
349	8390	2565
350	8408	2539
351	8427	2513
352	8449	2489
353	8468	2464
354	8487	2438
355	8514	2415
356	8535	2390
357	8555	2365
358	8572	2340
359	8595	2315
360	8615	2291
361	8633	2265
362	8653	2240
363	8671	2215
364	8694	2191
365	8714	2166
366	8742	2143
367	8766	2120
368	8799	2098
369	8827	2075
370	8848	2051
371	8865	2025
372	8880	1999
373	8901	1975
374	8922	1951
375	8941	1926
376	8959	1901
377	8978	1876
378	9004	1853
379	9022	1828
380	9041	1803
381	9058	1778
382	9076	1753
383	9097	1729
384	9118	1705
385	9137	1680
386	9217	1667
387	9308	1655
388	9352	1634
389	9373	1610
390	9392	1585
391	9411	1560
392	9429	1535
393	9455	1511
394	9487	1489
395	9506	1464
396	9529	1440
397	9548	1415
398	9569	1391
399	9597	1367
400	9619	1343
401	9639	1318
402	9667	1295
403	9688	1271
404	9713	1247
405	9736	1223
406	9764	1199
407	9788	1175
408	9815	1151
409	9834	1127
410	9854	1102
411	9878	1078
412	9899	1054
413	9920	1030
414	9939	1005
415	9958	981
416	9981	957
417	10010	933
418	10033	909
419	10057	886
420	10093	863
421	10124	839
422	10152	816
423	10174	791
424	10201	768
425	10231	744
426	10256	720
427	10280	696
428	10306	672
429	10331	648
430	10354	624
431	10380	600
432	10410	577
433	10434	552
434	10460	529
435	10479	504
436	10498	480
437	10523	456
438	10540	432
439	10558	407
440	10579	383
441	10599	359
442	10623	335
443	10642	311
444	10662	287
445	10682	263
446	10702	239
447	10724	215
448	10743	191
449	10766	167
450	10787	143
451	10806	119
452	10827	95
453	10848	71
454	10870	47
455	10896	23
456	10917	0
