iter	Logloss
0	0.6920400966
1	0.6911278638
2	0.6903273843
3	0.6895142469
4	0.6888477586
5	0.688129425
6	0.6869095889
7	0.6852817102
8	0.6846139214
9	0.6832425378
10	0.6817376397
11	0.6801721399
12	0.6791864742
13	0.6784662767
14	0.6770016063
15	0.6755859202
16	0.6742780859
17	0.6734345176
18	0.6726773869
19	0.6712835485
20	0.6699714661
21	0.6685766307
22	0.6671871272
23	0.6659664674
24	0.6652609652
25	0.6639437675
26	0.6627377597
27	0.6618530967
28	0.6610766324
29	0.6594298536
30	0.6584373387
31	0.6568370732
32	0.6556780122
33	0.6545024352
34	0.6532329646
35	0.6519205787
36	0.6508994536
37	0.65045114
38	0.6494037021
39	0.6483537067
40	0.6471520771
41	0.6463135806
42	0.6453560049
43	0.6444655332
44	0.6428841678
45	0.6418735764
46	0.6409032562
47	0.6396228617
48	0.6383732449
49	0.6371465163
50	0.6357398467
51	0.6351555477
52	0.633656155
53	0.6320950768
54	0.63103186
55	0.6300282912
56	0.6291443218
57	0.6280650226
58	0.6268752705
59	0.625452215
60	0.6246045719
61	0.6239560734
62	0.623143803
63	0.6223096848
64	0.6211033734
65	0.6196796677
66	0.6184509451
67	0.6176697991
68	0.616874348
69	0.6156363054
70	0.6149686033
71	0.613771612
72	0.6127907146
73	0.6118475741
74	0.6107696186
75	0.6094596169
76	0.6085188606
77	0.6075555195
78	0.6061739922
79	0.6050570661
80	0.6042668603
81	0.6028674733
82	0.6019387245
83	0.601135514
84	0.6003369852
85	0.5997992429
86	0.5991314108
87	0.59774958
88	0.5964090174
89	0.5956523202
90	0.5944172252
91	0.593654069
92	0.592851292
93	0.5918609446
94	0.5911549655
95	0.590192448
96	0.5893291127
97	0.5884413286
98	0.5873362801
99	0.5861429735
100	0.5849573829
101	0.5838533315
102	0.5828583891
103	0.5820532712
104	0.5809144107
105	0.5801135843
106	0.5794937827
107	0.5782891187
108	0.5775128278
109	0.5765393431
110	0.5757634423
111	0.5746547092
112	0.5736121264
113	0.5725891807
114	0.571638324
115	0.5705798756
116	0.5696258545
117	0.5688846328
118	0.5681961233
119	0.5670476393
120	0.566421162
121	0.5656352477
122	0.5650125417
123	0.5638857755
124	0.5631226193
125	0.5623724677
126	0.5617373206
127	0.5606418956
128	0.5595397949
129	0.5586299896
130	0.5577546033
131	0.5565322096
132	0.5554427234
133	0.5545643893
134	0.553553798
135	0.5529761748
136	0.5521663752
137	0.5517581159
138	0.5512727391
139	0.5504980521
140	0.5495346676
141	0.5487341881
142	0.5477419767
143	0.5470255071
144	0.5463930477
145	0.5458341078
146	0.5447654291
147	0.5442443761
148	0.5432619182
149	0.5422210693
150	0.5408569683
151	0.539642464
152	0.5387739702
153	0.5383361036
154	0.537772092
155	0.5370746092
156	0.5366155451
157	0.535674572
158	0.5351899754
159	0.5342767022
160	0.5331934149
161	0.5324869589
162	0.5315821388
163	0.5306927074
164	0.5300012935
165	0.5291430733
166	0.5279234106
167	0.5270021179
168	0.5263119611
169	0.5254901539
170	0.5245169293
171	0.5233327259
172	0.5223833431
173	0.5216016769
174	0.5208741968
175	0.5199411999
